household_ID,Consumption
ID0361,111.88
ID0362,47.28
ID0363,35.84
ID0364,96.32
ID0365,NA
ID0366,142.28
ID0367,91.84
ID0368,70.12
ID0369,49.16
ID0370,310.48
ID0371,542.48
ID0372,123.56
ID0373,89.44
ID0374,96.04
ID0375,132.08
ID0376,55.72
ID0377,197.32
ID0378,103.52
ID0379,117.48
ID0380,50.64
ID0381,191.48
ID0382,57.64
ID0383,148.28
ID0384,76.08
ID0385,81
ID0386,102.6
ID0387,70.28
ID0388,166.12
ID0389,131.36
ID0390,52.64
ID0391,155.36
ID0392,273.24
ID0393,0
ID0394,58.12
ID0395,NA
ID0396,94.84
ID0397,186.72
ID0398,111.6
ID0399,142.56
ID0400,18.12
ID0401,89.16
ID0402,87.68
ID0403,122.52
ID0404,183.88
ID0405,70.44
ID0406,354.72
ID0407,101.84
ID0408,63.48
ID0409,91.44
ID0410,8.36
ID0411,80.44
ID0412,2.68
ID0413,40.48
ID0414,118.6
ID0415,131.64
ID0416,NA
ID0417,NA
ID0418,162.76
ID0419,86
ID0420,89.24
ID0421,119.32
ID0422,83.92
ID0423,20.04
ID0424,104.24
ID0425,58.28
ID0426,49
ID0427,130.88
ID0428,90.48
ID0429,136.52
ID0430,32.6
ID0431,68.8
ID0432,75.44
ID0433,85.24
ID0434,21.04
ID0435,NA
ID0436,45.64
ID0437,50.76
ID0438,67.4
ID0439,85.72
ID0440,145.24
ID0441,59.64
ID0442,42.92
ID0443,97.4
ID0444,150.4
ID0445,66.36
ID0446,250.4
ID0447,58.76
ID0448,105.48
ID0449,44.28
ID0450,87.96
ID0451,39.84
ID0452,108.68
ID0453,173.4
ID0454,119.16
ID0455,83
ID0456,69.92
ID0457,NA
ID0458,117.56
ID0459,90.36
ID0460,0.84
ID0461,97
ID0462,34.88
ID0463,42.32
ID0464,149.48
ID0465,73.2
ID0466,152.08
ID0467,547.04
ID0468,166.4
ID0469,130.24
ID0470,276.68
ID0471,199.72
ID0472,86.44
ID0473,65.32
ID0474,134.44
ID0475,183.4
ID0476,60.12
ID0477,35.56
ID0478,112.92
ID0479,52.04
ID0480,83.56
ID0481,39.24
ID0482,28.76
ID0483,82.4
ID0484,25.64
ID0485,23.68
ID0486,116.2
ID0487,227.4
ID0488,140.92
ID0489,54.2
ID0490,111.32
ID0491,93.72
ID0492,75.88
ID0493,58.88
ID0494,85.12
ID0495,101.6
ID0496,26.96
ID0497,80.44
ID0498,111.72
ID0499,246.32
ID0500,81.72
ID0501,213.2
ID0502,96.84
ID0503,75.56
ID0504,81.2
ID0505,116.6
ID0506,79.72
ID0507,61.68
ID0508,217.2
ID0509,199.12
ID0510,91.96
ID0511,157.36
ID0512,154.88
ID0513,34.6
ID0514,109.84
ID0515,84.84
ID0516,144.56
ID0517,295.68
ID0518,64.96
ID0519,11.52
ID0520,86.84
ID0521,34.72
ID0522,224.64
ID0523,70.56
ID0524,225.28
ID0525,118.4
ID0526,86.52
ID0527,86.28
ID0528,116.28
ID0529,56.96
ID0530,146.8
ID0531,164.92
ID0532,76.16
ID0533,233.44
ID0534,66.64
ID0535,71.24
ID0536,63.2
ID0537,71.96
ID0538,105.72
ID0539,436.36
ID0540,98
ID0541,159.52
ID0542,98
ID0543,323.28
ID0544,209.4
ID0545,432.72
ID0546,230.04
ID0547,201.04
ID0548,42.36
ID0549,NA
ID0550,148.36
ID0551,167.24
ID0552,39.36
ID0553,56.76
ID0554,214.36
ID0555,361.2
ID0556,73.48
ID0557,NA
ID0558,293.8
ID0559,94.28
ID0560,86.2
ID0561,75.08
ID0562,28.72
ID0563,78.44
ID0564,143.92
ID0565,176.6
ID0566,214.44
ID0567,78.52
ID0568,185.04
ID0569,132.48
ID0570,99.32
ID0571,316.76
ID0572,99.52
ID0573,70.88
ID0574,82.24
ID0575,92.44
ID0576,131.36
ID0577,90.8
ID0578,90.4
ID0579,119.96
ID0580,129.08
ID0581,120.24
ID0582,NA
ID0583,26.84
ID0584,101.4
ID0585,78.64
ID0586,157.6
ID0587,111.08
ID0588,101.52
ID0589,130.04
ID0590,118.8
ID0591,78.4
ID0592,127.64
ID0593,58.72
ID0594,56.2
ID0595,132.6
ID0596,186.16
ID0597,194.96
ID0598,48.92
ID0599,96.12
ID0600,NA
ID0601,185.4
ID0602,258.72
ID0603,NA
ID0604,93.36
ID0605,139.92
ID0606,51.52
ID0607,63.4
ID0608,87.68
ID0609,230.16
ID0610,110.16
ID0611,152.12
ID0612,181.36
ID0613,46.32
ID0614,116.64
ID0615,74.88
ID0616,31.36
ID0617,124.2
ID0618,103.4
ID0619,85.52
ID0620,93.8
ID0621,142.16
ID0622,NA
ID0623,87.2
ID0624,108.44
ID0625,87.28
ID0626,40.6
ID0627,89.76
ID0628,84.36
ID0629,99.72
ID0630,327.92
ID0631,272.08
ID0632,31.64
ID0633,110.6
ID0634,NA
ID0635,47.48
ID0636,102.24
ID0637,95.2
ID0638,64.44
ID0639,50.6
ID0640,89
ID0641,161.52
ID0642,47.28
ID0643,95.6
ID0644,114.16
ID0645,78.6
ID0646,0.44
ID0647,37.48
ID0648,129.96
ID0649,102.72
ID0650,33.08
ID0651,NA
ID0652,133.88
ID0653,137.28
ID0654,195.8
ID0655,120.92
ID0656,99.64
ID0657,157.6
ID0658,81.8
ID0659,110.64
ID0660,81.12
ID0661,NA
ID0662,119.48
ID0663,71.92
ID0664,148.48
ID0665,29.84
ID0666,NA
ID0667,120.76
ID0668,41.4
ID0669,426.36
ID0670,59.08
ID0671,254.72
ID0672,54.12
ID0673,30
ID0674,66.8
ID0675,150.16
ID0676,201.6
ID0677,0.04
ID0678,88.08
ID0679,117.2
ID0680,198.6
ID0681,74.24
ID0682,86.12
ID0683,69
ID0684,185.32
ID0685,39.92
ID0686,379.32
ID0687,56.04
ID0688,18.68
ID0689,74.56
ID0690,76.84
ID0691,151
ID0692,138.68
ID0693,106.52
ID0694,324.6
ID0695,NA
ID0696,159.36
ID0697,13.24
ID0698,54.4
ID0699,85.08
ID0700,235.92
ID0701,NA
ID0702,29.32
ID0703,91.32
ID0704,180.08
ID0705,59.68
ID0706,128.68
ID0707,57.96
ID0708,67.12
ID0709,145.72
ID0710,145
ID0711,86.08
ID0712,0
ID0713,213.44
ID0714,107.12
ID0715,151.04
ID0716,87.56
ID0717,100.56
ID0718,111.84
ID0719,298.28
ID0720,61.84
ID0721,303.68
ID0722,51.56
ID0723,100.56
ID0724,39.44
ID0725,108.36
ID0726,93.76
ID0727,56.52
ID0728,167.8
ID0729,33.16
ID0730,7.76
ID0731,196.16
ID0732,67
ID0733,247.56
ID0734,83.4
