
"1","ID0001",91.36
"2","ID0002",47.36
"3","ID0003",188.52
"4","ID0004",236.24
"5","ID0005",94.04
"6","ID0006",151.96
"7","ID0007",82.72
"8","ID0008",65.16
"9","ID0009",26.08
"10","ID0010",70.76
"11","ID0011",84.88
"12","ID0012",312.08
"13","ID0013",153.08
"14","ID0014",135.2
"15","ID0015",96.08
"16","ID0016",92.6
"17","ID0017",27.68
"18","ID0018",371.76
"19","ID0019",88.96
"20","ID0020",64.16
"21","ID0021",0.52
"22","ID0022",94.36
"23","ID0023",51.72
"24","ID0024",240.72
"25","ID0025",60.6
"26","ID0026",170.28
"27","ID0027",77.24
"28","ID0028",76.24
"29","ID0029",98.04
"30","ID0030",48.24
"31","ID0031",28.52
"32","ID0032",41.64
"33","ID0033",77.92
"34","ID0034",483
"35","ID0035",53.8
"36","ID0036",64.8
"37","ID0037",44.28
"38","ID0038",93.56
"39","ID0039",197.32
"40","ID0040",77.92
"41","ID0041",89.04
"42","ID0042",91.72
"43","ID0043",NA
"44","ID0044",29.96
"45","ID0045",99.68
"46","ID0046",129.52
"47","ID0047",NA
"48","ID0048",60.88
"49","ID0049",193.8
"50","ID0050",155.84
"51","ID0051",48.32
"52","ID0052",159.64
"53","ID0053",71.24
"54","ID0054",132.12
"55","ID0055",87.64
"56","ID0056",120.48
"57","ID0057",120.44
"58","ID0058",34.16
"59","ID0059",89.2
"60","ID0060",93.2
"61","ID0061",83
"62","ID0062",81.28
"63","ID0063",125.24
"64","ID0064",95.4
"65","ID0065",92.68
"66","ID0066",450.92
"67","ID0067",155.48
"68","ID0068",170.6
"69","ID0069",321
"70","ID0070",85
"71","ID0071",156.64
"72","ID0072",204.64
"73","ID0073",34.12
"74","ID0074",44.96
"75","ID0075",92.88
"76","ID0076",75.88
"77","ID0077",131.12
"78","ID0078",121.96
"79","ID0079",244.6
"80","ID0080",0
"81","ID0081",152
"82","ID0082",59.52
"83","ID0083",180.04
"84","ID0084",141.76
"85","ID0085",114.6
"86","ID0086",92.48
"87","ID0087",100.08
"88","ID0088",194.64
"89","ID0089",139.72
"90","ID0090",67.88
"91","ID0091",106.52
"92","ID0092",110.08
"93","ID0093",176.64
"94","ID0094",156.36
"95","ID0095",83
"96","ID0096",157.2
"97","ID0097",132.16
"98","ID0098",62.8
"99","ID0099",32
"100","ID0100",120.92
"101","ID0101",148.92
"102","ID0102",163.72
"103","ID0103",256.24
"104","ID0104",242.36
"105","ID0105",150.96
"106","ID0106",141.56
"107","ID0107",206.36
"108","ID0108",178.76
"109","ID0109",NA
"110","ID0110",123.8
"111","ID0111",169.76
"112","ID0112",105.72
"113","ID0113",188.68
"114","ID0114",170.2
"115","ID0115",240.6
"116","ID0116",89.76
"117","ID0117",127.12
"118","ID0118",134.36
"119","ID0119",46.6
"120","ID0120",32.4
"121","ID0121",148.2
"122","ID0122",NA
"123","ID0123",159.2
"124","ID0124",84
"125","ID0125",169.84
"126","ID0126",24.64
"127","ID0127",366.12
"128","ID0128",174.92
"129","ID0129",120.56
"130","ID0130",153.68
"131","ID0131",51.24
"132","ID0132",NA
"133","ID0133",107.28
"134","ID0134",201.84
"135","ID0135",205.72
"136","ID0136",50.24
"137","ID0137",315.76
"138","ID0138",42.68
"139","ID0139",154.84
"140","ID0140",10.4
"141","ID0141",93.88
"142","ID0142",125.08
"143","ID0143",66.48
"144","ID0144",48.64
"145","ID0145",93.92
"146","ID0146",159.84
"147","ID0147",10.96
"148","ID0148",110.24
"149","ID0149",266.28
"150","ID0150",90.24
"151","ID0151",82.8
"152","ID0152",223.96
"153","ID0153",114.88
"154","ID0154",NA
"155","ID0155",170.16
"156","ID0156",111.24
"157","ID0157",69.72
"158","ID0158",58.4
"159","ID0159",139.24
"160","ID0160",43.92
"161","ID0161",23.8
"162","ID0162",60.6
"163","ID0163",122.96
"164","ID0164",42.4
"165","ID0165",126.04
"166","ID0166",152.84
"167","ID0167",0
"168","ID0168",89.16
"169","ID0169",102.76
"170","ID0170",27.6
"171","ID0171",157.56
"172","ID0172",148.6
"173","ID0173",56.68
"174","ID0174",155.76
"175","ID0175",63.96
"176","ID0176",59.08
"177","ID0177",358.12
"178","ID0178",93.32
"179","ID0179",142.6
"180","ID0180",128.52
"181","ID0181",146.32
"182","ID0182",447.92
"183","ID0183",28.12
"184","ID0184",51.56
"185","ID0185",326.44
"186","ID0186",118.28
"187","ID0187",148
"188","ID0188",104.12
"189","ID0189",325.6
"190","ID0190",14.28
"191","ID0191",85.04
"192","ID0192",122.64
"193","ID0193",101.72
"194","ID0194",NA
"195","ID0195",105.84
"196","ID0196",106.6
"197","ID0197",138.48
"198","ID0198",437.56
"199","ID0199",40.76
"200","ID0200",82.84
"201","ID0201",258.2
"202","ID0202",158.8
"203","ID0203",106.88
"204","ID0204",50.52
"205","ID0205",NA
"206","ID0206",133.24
"207","ID0207",136.56
"208","ID0208",52.96
"209","ID0209",88.72
"210","ID0210",263.08
"211","ID0211",99.76
"212","ID0212",73.96
"213","ID0213",64.24
"214","ID0214",70.12
"215","ID0215",97.16
"216","ID0216",84.04
"217","ID0217",130.48
"218","ID0218",36.16
"219","ID0219",126.76
"220","ID0220",96.52
"221","ID0221",106.2
"222","ID0222",137.68
"223","ID0223",22.64
"224","ID0224",25.48
"225","ID0225",145.72
"226","ID0226",116.6
"227","ID0227",76.56
"228","ID0228",NA
"229","ID0229",320.76
"230","ID0230",144.8
"231","ID0231",132.28
"232","ID0232",104.6
"233","ID0233",176.44
"234","ID0234",160.72
