household_ID,Consumption,Unnamed: 2
ID0850,32.74560034,
ID0851,17.86357352,
ID0852,33.95082809,
ID0854,16.2752721,
ID0857,33.86680552,
ID0861,12.07986322,
ID0864,28.02816045,
ID0868,42.07553326,
ID0870,16.87460338,
ID0871,3.317130276,
ID0873,11.76903686,
ID0875,4.932395633,
ID0886,12.0765609,
ID0887,22.26618212,
ID0895,29.41136949,
ID0902,25.80290431,
ID0906,31.2636296,
ID0910,8.4314961,
ID0913,20.65601563,
ID0914,14.55323292,
ID0915,12.74779038,
ID0920,4.275482976,
ID0922,22.31216231,
ID0926,0.020727431,
ID0930,25.16663149,
ID0933,19.42652016,
ID0936,27.66140251,
ID0937,19.47978624,
ID0938,11.77566252,
ID0940,20.52672163,
ID0942,22.25919932,
ID0947,5.043739502,
ID0951,27.65650547,
ID0952,25.4259263,
ID0953,28.61285855,
ID0954,44.35025055,
ID0967,17.46045744,
ID0968,24.1365873,
ID0979,21.96315602,
ID0981,26.87567731,
ID0987,73.41227696,
ID0990,17.92268393,
ID0991,14.01303357,
ID0992,20.99011952,
ID0999,29.18018424,
ID1004,8.12448605,
ID1006,18.86694652,
ID1007,22.89088027,
ID1008,20.56509729,
ID1009,44.09029698,
ID1015,18.23736172,
ID1016,16.80571298,
ID1017,30.23108371,
ID1019,17.15815369,
ID1024,13.61271931,
ID1025,37.09973886,
ID1026,18.71201694,
ID1027,20.06860229,
ID1028,25.92905648,
ID1030,8.013646652,
ID1031,34.97758839,
ID1032,18.83366658,
ID1033,12.70983351,
ID1034,23.26403163,
ID1038,14.11968387,
ID1051,56.76260588,
ID1054,32.28047442,
ID1065,6.552568998,
ID1067,16.77406765,
ID1068,18.78553746,
ID1069,13.38628988,
ID1070,31.4683226,
ID1074,16.92022243,
ID1076,15.94163108,
ID1081,24.98004676,
ID1088,21.09307189,
ID1092,16.29627159,
ID1097,62.43567802,
ID1098,15.75636462,
ID1102,21.43248423,
ID1103,25.76098151,
ID1104,13.59218318,
ID1106,9.9025636,
ID1107,10.03148706,
ID1110,33.81777337,
ID1112,12.10765601,
ID1113,11.06071835,
ID1114,58.04214062,
ID1115,17.09424698,
ID1126,73.87239748,
ID1127,61.03186713,
ID1132,153.5888822,
ID1133,16.33026759,
ID1134,32.54313993,
ID1135,13.51826117,
ID1136,21.27657465,
ID1137,15.36351534,
ID1138,19.28025995,
ID1139,34.09218495,
ID1140,21.93187937,
ID1144,12.81365097,
ID1145,23.19670095,
ID1146,16.53733399,
ID1165,161.7800215,
ID1167,14.69310303,
ID1179,7.045763316,
ID1184,57.88068468,
ID1188,11.79231304,
ID1191,41.38866853,
ID1197,22.70132643,
ID1205,12.90810562,
ID1209,23.78811737,
ID1215,18.54416186,
ID1217,47.81844483,
ID1218,16.32245104,
ID1223,5.941103696,
ID1226,1.496017914,
ID1231,40.36436773,
ID1233,30.73233405,
ID1234,18.42140709,
ID1235,16.08347962,
ID1240,15.99890889,
ID1242,2.819606093,
ID1249,13.64351044,
ID1250,14.77349035,
ID1251,45.10944631,
ID1252,20.78195391,
ID1253,8.31966303,
ID1254,34.02525568,
ID1255,15.37901129,
ID1256,18.86797527,
ID1264,12.07936675,
ID1266,21.15250895,
ID1271,46.3394887,
ID1276,19.3752264,
ID1278,17.67192214,
ID1281,16.32331871,
ID1283,29.69645641,
ID1284,153.4875681,
ID1290,40.35893661,
ID1294,10.6790043,
ID1295,18.11039366,
ID1297,14.58107484,
ID1298,23.4748193,
ID1303,4.258555863,
ID1304,37.52588996,
ID1308,11.20526702,
ID1309,4.07821016,
ID1311,22.928046,
ID1314,34.23234352,
ID1320,17.21903952,
ID1327,27.03406972,
ID1334,22.71261532,
ID1336,55.59273774,
ID1338,23.58148568,
ID1339,15.00354472,
ID1341,4.718067955,
ID1342,20.63987188,
ID1343,37.6822397,
ID1347,15.56420398,
ID1350,62.56527941,
ID1359,21.16097632,
ID1363,22.3612095,
ID1366,12.28448381,
ID1369,27.43016848,
ID1377,38.20989856,
ID1378,44.81226493,
ID1379,51.68590839,
ID1381,33.62506623,
ID1389,9.337650355,
ID1400,101.788086,
ID1407,37.91201816,
ID1413,11.68952087,
ID1420,42.24219931,
ID1424,24.63257972,
ID1428,3.907676511,
ID1429,25.82826227,
ID1430,8.382838962,
ID1432,8.772972001,
ID1433,24.86995121,
ID1435,22.33061458,
ID1437,19.93807179,
ID1445,46.14737716,
ID1448,6.258097614,
ID1454,29.35124737,
ID1455,24.41592604,
ID1456,22.35378571,
ID1457,19.9603966,
ID1459,20.67344139,
ID1462,25.31078703,
ID1465,20.02209733,
ID1468,15.44216449,
ID1470,28.39401661,
ID1475,23.74720893,
ID1479,30.72552109,
ID1480,47.30976149,
ID1485,41.20431949,
ID1486,3.830153047,
ID1488,7.343954364,
ID1489,21.38867671,
ID1491,35.95915206,
ID1496,42.6848738,
ID1497,16.27837151,
ID1502,9.433248095,
ID1503,10.72444796,
ID1504,16.64293789,
ID1505,9.89229842,
ID1506,10.52007638,
ID1510,9.242592843,
ID1517,13.12493813,
ID1520,37.60565764,
ID1523,18.18017935,
ID1526,19.01635926,
ID1527,20.25192488,
ID1534,7.939358831,
ID1538,27.37263221,
ID1541,24.79236073,
ID1542,15.96585507,
ID1544,13.14539765,
ID1545,27.1100663,
ID1547,13.99484029,
ID1551,31.92008034,
ID1552,9.153756675,
ID1555,24.47090804,
ID1559,39.41371931,
ID1560,7.400876936,
ID1564,27.56145914,
ID1567,24.34309447,
ID1569,15.66991686,
ID1571,35.23552467,
ID1572,14.44084245,
ID1573,40.97360821,
ID1575,13.27342578,
ID1581,57.9647974,
ID1582,13.21677821,
ID1584,7.773428517,
ID1585,30.03502573,
ID1587,22.20822256,
ID1588,63.0684803,
ID1593,14.19787526,
ID1595,22.8921275,
ID1596,23.80342193,
ID1597,8.815194902,
ID1599,29.47979289,
ID1600,51.35171337,
ID1601,19.38026831,
ID1602,34.60338059,
ID1604,57.95417272,
ID1606,23.75179196,
ID1607,10.28142966,
ID1611,45.55024875,
ID1612,19.62734756,
ID1620,89.66239693,
ID1621,54.35380832,
ID1622,26.99557163,
ID1624,22.89980778,
ID1625,79.77088318,
ID1641,33.35184132,
ID1646,48.94702179,
ID1647,33.82907899,
ID1649,16.98088095,
ID1652,21.56206296,
ID1653,55.30417487,
ID1654,19.00891081,
ID1655,25.11059325,
ID1659,34.28949499,
ID1663,32.64570091,
ID1670,13.86877703,
ID1672,21.05978711,
ID1673,17.88591281,
ID1674,10.05730738,
ID1680,29.43281449,
ID1682,12.73677446,
ID1683,123.7127467,
ID1685,27.61314313,
ID1687,31.21241871,
ID1688,6.964812779,
ID1693,35.7860206,
ID1698,22.01861562,
ID1704,29.30789575,
ID1705,16.17548354,
ID1708,33.22090391,
ID1713,44.61339713,
ID1715,32.735772,
ID1717,25.13949632,
ID1721,68.62319975,
ID1722,19.71022598,
ID1727,8.9543979,
ID1729,37.74061615,
ID1732,32.38218215,
ID1736,30.69778804,
ID1737,33.97278077,
ID1738,22.65481522,
ID1739,44.53753641,
ID1740,16.73010873,
ID1741,8.526336812,
ID1743,149.7903599,
ID1751,21.38685976,
ID1753,17.07504087,
ID1757,33.61834998,
ID1758,32.01633309,
ID1762,191.5177807,
ID1763,6.834360143,
ID1764,10.3112928,
ID1765,17.77397081,
ID1766,17.72640381,
ID1767,27.95428576,
ID1768,59.24155705,
ID1771,47.33678697,
ID1775,22.8519008,
ID1777,30.68873138,
ID1778,144.732287,
ID1779,16.75936937,
ID1781,28.37195902,
ID1787,16.34133365,
ID1789,24.49911903,
ID1793,3.378216314,
ID1794,44.3546816,
ID1795,14.65309586,
ID1798,31.06977191,
ID1800,23.152729,
ID1809,31.80143453,
ID1810,26.95567305,
ID1812,39.62402138,
ID1815,10.32844859,
ID1817,29.76654729,
ID1823,14.61281222,
ID1825,12.12703642,
ID1826,30.06018986,
ID1827,16.52021777,
ID1829,18.64807433,
ID1830,18.57947994,
ID1834,22.30810617,
ID1835,26.45232366,
ID1836,25.80664242,
ID1840,13.62246554,
ID1842,26.20125637,
ID1843,29.21501691,
ID1845,36.4455697,
ID1846,40.08211656,
ID1847,41.94210081,
ID1849,0.0,
ID1853,29.19897182,
ID1854,37.12588039,
ID1855,16.62270338,
ID1856,32.46313948,
ID1858,21.84063043,
ID1859,8.243548441,
ID1862,55.66483383,
ID1867,15.74494122,
ID1868,14.21853593,
ID1869,18.37315623,
ID1870,16.43880276,
ID1871,11.69487892,
ID1875,30.24392094,
ID1877,47.41078162,
ID1878,31.98767886,
ID1879,19.35408609,
ID1891,24.87563058,
ID1892,7.338147102,
ID1894,11.55685665,
ID1896,32.457712,
ID1898,9.689208671,
ID1900,5.120656025,
ID1905,6.283242236,
ID1913,16.3851916,
ID1914,1.17447595,
ID1915,18.98863921,
ID1919,17.84382361,
ID1921,2.758458577,
ID1923,19.23178396,
ID1926,52.71092738,
ID1927,10.08518813,
ID1931,41.78857498,
ID1932,11.52210911,
ID1935,18.81614103,
ID1936,22.00804388,
ID1937,30.29050221,
ID1939,7.537588093,
ID1940,14.85364083,
ID1941,21.27508155,
ID1942,44.05647058,
ID1945,65.01836942,
ID1949,25.15978572,
ID1952,22.52830909,
ID1953,6.9268341,
ID1958,4.096485019,
ID1959,18.86954575,
ID1964,35.49495334,
ID1968,23.52636098,
ID1973,9.81641905,
ID1977,19.32004461,
ID1978,29.10686125,
ID1980,30.26643579,
ID1984,31.63214873,
ID1985,47.61469437,
ID1986,0.00012,
ID1989,5.63558721,
ID1990,26.92334136,
ID1992,14.26814765,
ID1993,44.59846914,
ID2000,18.4234652,
ID2001,54.75955095,
ID2002,20.22480584,
ID2003,10.49250136,
ID2005,20.77202024,
ID2006,14.88838843,
ID2007,11.42753884,
ID2009,16.42643211,
ID2011,18.56794703,
ID2018,11.40735189,
ID2020,18.24420228,
ID2021,17.74133605,
ID2025,26.10066406,
ID2027,30.82338654,
ID2028,19.12284777,
ID2031,11.9904035,
ID2035,20.44485451,
ID2036,16.3034231,
ID2042,40.01806484,
ID2045,30.99900669,
ID2046,22.51758565,
ID2050,9.263461439,
ID2058,49.36153364,
ID2059,19.37298953,
ID2063,17.8273835,
ID2064,68.62429603,
ID2067,20.4259704,
ID2068,26.65695802,
ID2069,21.40360085,
ID2073,19.80942297,
ID2074,6.710908493,
ID2075,24.13781205,
ID2077,50.35413296,
ID2083,38.18626347,
ID2089,16.09981354,
ID2090,44.34737748,
ID2091,22.69742894,
ID2092,15.25306131,
ID2094,14.16573964,
ID2097,73.18861639,
ID2103,23.60566703,
ID2104,12.51274045,
ID2105,25.9433138,
ID2106,30.69324076,
ID2108,48.14862593,
ID2109,14.96353652,
ID2110,17.09102099,
ID2114,38.71344383,
ID2116,21.66627606,
ID2125,0.0,
ID2129,9.549870781,
ID2130,21.52840642,
ID2133,37.83618752,
ID2139,3.542673988,
ID2142,14.45679832,
ID2146,14.91291858,
ID2151,4.9700501,
ID2153,29.47740584,
ID2158,2.650110661,
ID2159,9.758476297,
ID2161,27.75340751,
ID2167,233.2710544,
ID2169,4.516003372,
ID2173,12.94378128,
