household_ID,SumOfAppliances
ID0356,347.35
ID0357,139.25
ID0358,190.0
ID0359,251.5
ID0360,69.5
ID0361,17.5
ID0362,2.0
ID0363,241.5
ID0364,185.5
ID0365,55.5
ID0366,315.41
ID0367,160.0
ID0368,249.55
ID0369,178.0
ID0370,532.25
ID0371,352.21
ID0372,278.12
ID0373,183.75
ID0374,121.75
ID0375,198.75
ID0376,185.34
ID0377,70.25
ID0378,398.39
ID0379,191.75
ID0380,196.0
ID0381,290.0
ID0382,230.0
ID0383,170.8
ID0384,238.0
ID0385,189.41
ID0386,31.6
ID0387,196.5
ID0388,198.73
ID0389,168.5
ID0390,16.0
ID0391,178.14
ID0392,396.91
ID0393,247.0
ID0394,204.75
ID0395,333.0
ID0396,195.0
ID0397,181.5
ID0398,197.25
ID0399,259.85
ID0400,2.08
ID0401,455.58
ID0402,32.1
ID0403,186.525
ID0404,270.75
ID0405,215.0
ID0406,474.9
ID0407,25.5
ID0408,168.0
ID0409,216.25
ID0410,4.0
ID0411,186.0
ID0413,198.0
ID0414,204.83
ID0415,223.25
ID0416,474.5
ID0417,300.85
ID0418,208.658
ID0419,213.5
ID0420,172.5
ID0421,230.75
ID0422,178.75
ID0423,111.0
ID0424,141.8
ID0425,174.0
ID0426,169.25
ID0427,153.0
ID0428,207.06
ID0429,220.5
ID0430,227.5
ID0431,15.0
ID0432,168.25
ID0433,141.0
ID0434,22.0
ID0435,174.41
ID0436,3.0
ID0437,35.0
ID0438,7.0
ID0439,242.5
ID0440,213.62
ID0441,169.0
ID0442,1.0
ID0443,210.5
ID0444,229.0
ID0445,205.0
ID0446,252.75
ID0447,204.0
ID0448,188.0
ID0449,169.75
ID0450,226.0
ID0451,256.25
ID0452,195.0
ID0453,207.25
ID0454,187.0
ID0455,171.8
ID0456,199.35
ID0457,185.75
ID0458,187.1
ID0459,75.5
ID0461,371.0
ID0462,0.5
ID0463,39.5
ID0464,233.25
ID0465,258.41
ID0466,206.0
ID0467,191.0
ID0468,221.5
ID0469,66.83
ID0470,219.0
ID0471,190.0
ID0472,373.5
ID0473,26.0
ID0474,213.33
ID0475,187.33
ID0476,191.91
ID0477,173.1
ID0478,170.75
ID0479,119.5
ID0480,208.25
ID0481,4.0
ID0483,204.5
ID0484,16.0
ID0485,270.0
ID0486,217.25
ID0487,300.63
ID0488,171.56
ID0489,251.04
ID0490,217.81
ID0491,198.58
ID0492,24.75
ID0493,174.0
ID0494,210.1
ID0495,259.56
ID0496,186.0
ID0497,88.5
ID0498,2.75
ID0499,220.5
ID0500,192.31
ID0501,195.773
ID0502,16.0
ID0503,199.6
ID0504,205.5
ID0505,24.08
ID0506,216.75
ID0507,205.0
ID0508,129.92
ID0509,176.75
ID0510,185.16
ID0511,166.66
ID0512,189.0
ID0513,2.0
ID0514,278.32
ID0515,195.0
ID0516,226.94
ID0517,313.1
ID0518,323.5
ID0519,187.5
ID0520,107.75
ID0521,3.25
ID0522,199.75
ID0523,4.0
ID0524,196.25
ID0525,180.25
ID0526,187.16
ID0527,241.7
ID0528,194.12
ID0529,118.0
ID0530,232.1
