household_ID,NoOfHoursStay
ID0353,192.0
ID0354,745.0
ID0355,674.0
ID0356,420.0
ID0357,333.0
ID0358,430.0
ID0359,796.0
ID0360,752.5
ID0361,296.0
ID0362,307.0
ID0363,1512.0
ID0364,588.0
ID0365,504.0
ID0366,288.0
ID0367,574.0
ID0368,969.7
ID0369,340.0
ID0370,496.0
ID0371,652.0
ID0372,502.0
ID0373,192.0
ID0374,714.0
ID0375,836.0
ID0376,255.0
ID0377,360.0
ID0378,231.0
ID0379,504.0
ID0380,168.0
ID0381,616.0
ID0382,458.0
ID0383,336.0
ID0384,168.0
ID0385,660.0
ID0386,320.0
ID0387,426.0
ID0388,444.0
ID0389,380.0
ID0390,344.0
ID0391,486.1
ID0392,870.0
ID0393,302.0
ID0394,336.0
ID0395,329.0
ID0396,168.0
ID0397,560.0
ID0398,395.0
ID0399,237.0
ID0400,286.0
ID0401,434.0
ID0402,707.0
ID0403,383.0
ID0404,481.0
ID0405,835.0
ID0406,1008.0
ID0407,336.0
ID0408,192.0
ID0409,622.0
ID0410,350.0
ID0411,480.0
ID0412,80.0
ID0413,318.0
ID0414,566.0
ID0415,500.0
ID0416,382.0
ID0417,673.0
ID0418,830.0
ID0419,504.0
ID0420,414.0
ID0421,360.0
ID0422,670.0
ID0423,1008.0
ID0424,314.0
ID0425,198.0
ID0426,561.0
ID0427,482.5
ID0428,450.0
ID0429,826.0
ID0430,154.0
ID0431,399.0
ID0432,498.0
ID0433,522.0
ID0434,596.0
ID0435,600.0
ID0436,940.0
ID0437,892.0
ID0438,168.0
ID0439,436.0
ID0440,505.0
ID0441,504.0
ID0442,168.0
ID0443,566.0
ID0444,306.0
ID0445,336.0
ID0446,168.0
ID0447,552.0
ID0448,584.0
ID0449,168.0
ID0450,390.0
ID0451,388.0
ID0452,756.0
ID0453,784.0
ID0454,602.0
ID0455,368.0
ID0456,618.0
ID0457,336.0
ID0458,210.0
ID0459,323.0
ID0460,168.0
ID0461,664.0
ID0462,240.0
ID0463,336.0
ID0464,676.0
ID0465,918.0
ID0466,604.0
ID0467,426.0
ID0468,627.0
ID0469,406.0
ID0470,496.0
ID0471,568.0
ID0472,504.0
ID0473,1032.0
ID0474,475.0
ID0475,192.0
ID0476,336.0
ID0477,240.0
ID0478,282.0
ID0479,404.0
ID0480,581.0
ID0481,273.0
ID0482,208.0
ID0483,403.0
ID0484,168.0
ID0485,336.0
ID0486,444.0
ID0487,848.0
ID0488,448.0
ID0489,602.0
ID0490,746.0
ID0491,528.0
ID0492,644.0
ID0493,336.0
ID0494,496.0
ID0495,632.0
ID0496,456.0
ID0497,473.0
ID0498,441.0
ID0499,303.0
ID0500,334.0
ID0501,497.5
ID0502,264.0
ID0503,266.0
ID0504,804.0
ID0505,336.0
ID0506,847.0
ID0507,420.0
ID0508,1155.0
ID0509,664.0
ID0510,714.0
ID0511,566.0
ID0512,534.0
ID0513,84.0
ID0514,390.0
ID0515,628.0
ID0516,666.0
ID0517,816.0
ID0518,461.0
ID0519,772.0
ID0520,704.0
ID0521,258.0
ID0522,416.0
ID0523,278.0
ID0524,414.0
ID0525,672.0
ID0526,481.0
ID0527,248.0
ID0528,317.0
ID0529,300.0
ID0530,672.0
ID0531,444.0
ID0532,732.0
ID0533,619.0
ID0534,326.0
ID0535,168.0
ID0536,704.0
ID0537,263.0
ID0538,842.0
ID0539,258.0
ID0540,168.0
ID0541,505.0
ID0542,554.0
ID0543,672.0
ID0544,672.0
ID0545,876.0
ID0546,840.0
ID0547,592.0
ID0548,252.0
ID0549,852.0
ID0550,464.0
ID0551,498.0
ID0552,577.0
ID0553,552.0
ID0554,317.0
ID0555,504.0
ID0556,348.0
ID0557,440.0
ID0558,712.0
ID0559,1328.0
ID0560,516.0
ID0561,840.0
ID0562,336.0
ID0563,504.0
ID0564,504.0
ID0565,949.0
ID0566,406.0
ID0567,990.0
ID0568,711.5
ID0569,776.0
ID0570,613.0
