household_ID,TOTAL_IMPORT (kWh),boiling_factor,NoOfHoursStay,no_of_household_members,TotWatageAC_x,TotWatageAC_y
ID0779,24.52246544,1,423.5,3,174.39,0
ID0796,49.4906023,0,920.0,7,202.75,12000
ID0814,17.95911763,0,336.0,2,213.5,0
ID0823,25.9491469,0,572.0,4,245.92,0
ID0840,39.89653022,0,802.0,6,215.8,0
ID0841,42.63416225,0,795.0,5,569.1,0
ID0864,28.02816045,0,420.0,4,37.5,200
ID0887,22.26618212,0,345.0,3,191.5,0
ID0938,11.77566252,1,366.0,3,202.31,650
ID0954,44.35025055,0,873.0,8,135.0,0
ID0987,73.41227696,1,548.0,4,231.25,3780
ID1009,44.09029698,0,454.0,3,210.75,0
ID1028,25.92905648,0,351.0,3,245.185,1800
ID1051,56.76260588,0,840.0,5,209.65,0
ID1054,32.28047442,1,552.0,4,294.99,56
ID1112,12.10765601,1,320.0,2,237.43,9000
ID1114,58.04214062,1,336.0,4,235.5,0
ID1132,153.5888822,0,336.0,4,564.593,0
ID1165,161.7800215,0,954.0,7,568.73,0
ID1184,57.88068468,0,440.0,6,200.71,0
ID1191,41.38866853,1,602.0,4,216.23,1080
ID1240,15.99890889,0,113.0,2,225.0,0
ID1249,13.64351044,0,576.0,5,468.27,0
ID1377,38.20989856,0,459.0,5,204.9,0
ID1378,44.81226493,0,596.75,5,218.16,0
ID1400,101.788086,0,456.0,5,218.75,0
ID1407,37.91201816,0,252.0,2,194.25,0
ID1420,42.24219931,0,539.0,4,221.57,2000
ID1429,25.82826227,0,300.0,2,205.4,0
ID1454,29.35124737,0,632.0,4,254.75,0
ID1480,47.30976149,0,312.0,3,249.36,0
ID1541,24.79236073,0,498.0,4,285.0,0
ID1559,39.41371931,0,406.0,3,202.45,900
ID1581,57.9647974,1,440.0,4,196.06,39
ID1588,63.0684803,0,173.0,5,207.0,0
ID1600,51.35171337,0,575.0,5,145.0,0
ID1604,57.95417272,1,418.0,3,270.75,0
ID1622,26.99557163,1,420.0,3,275.0,0
ID1646,48.94702179,0,275.0,3,266.75,0
ID1683,123.7127467,0,886.0,7,222.75,0
ID1705,16.17548354,0,624.0,4,204.5,0
ID1708,33.22090391,0,504.0,4,192.5,0
ID1722,19.71022598,0,710.0,5,262.0,5
ID1743,149.7903599,0,581.0,4,252.56,0
ID1753,17.07504087,0,426.0,4,225.62,0
ID1762,191.5177807,0,644.0,5,408.7,0
ID1764,10.3112928,0,448.0,4,365.35,0
ID1771,47.33678697,0,588.0,4,173.06,12
ID1778,144.732287,0,308.0,2,190.0,0
ID1809,31.80143453,0,4.0,2,1.0,0
ID1836,25.80664242,0,420.0,3,221.3,20
ID1849,0.0,0,0.0,1,1.0,0
ID1858,21.84063043,0,373.5,5,210.083,0
ID1914,1.17447595,1,168.0,2,207.0,0
ID1942,44.05647058,0,510.0,4,214.58,18
ID1945,65.01836942,0,808.0,6,188.5,0
ID1978,29.10686125,0,336.0,2,256.5,0
ID1986,0.00012,0,711.0,5,250.5,0
ID1992,14.26814765,0,761.0,5,427.75,0
ID2011,18.56794703,0,146.0,2,364.5,12
ID2027,30.82338654,0,866.0,6,207.2,0
ID2042,40.01806484,1,566.0,6,234.95,0
ID2058,49.36153364,0,492.0,3,271.0,0
ID2077,50.35413296,0,504.0,3,234.95,0
ID2153,29.47740584,0,358.0,3,176.5,9000
ID2161,27.75340751,1,400.0,3,184.0,0
ID2167,233.2710544,0,356.0,3,750.2,0
ID2179,40.55478723,0,1169.0,9,420.8,12
ID2184,38.1619998,0,336.0,2,185.75,0
ID2187,9.020419572,0,272.0,3,191.0,0
ID2194,141.405208,0,336.0,2,693.7,0
ID2218,25.50874005,0,516.0,4,188.87,0
ID2220,61.63317537,0,911.0,7,276.5,45
ID2221,215.7140375,0,431.0,3,393.25,0
ID2223,19.1831657,1,264.0,2,358.833,0
ID2226,24.9332393,1,563.0,5,276.83,0
ID2246,36.74432807,0,719.0,5,222.1,0
ID2256,0.060595876,0,252.0,2,400.75,0
ID2278,27.63980442,0,920.0,6,246.32,1500
ID2312,102.6947794,0,459.0,4,193.49,15
ID2313,30.81249844,0,654.0,4,242.5,0
ID2323,49.92248882,0,668.0,5,291.28,0
ID2335,72.40289813,1,742.0,7,357.16,0
ID2338,43.0717609,0,871.0,6,279.75,24000
ID2388,24.47295291,0,552.0,5,179.33,0
ID2391,32.01581958,0,612.0,4,215.35,0
ID2418,32.97462937,0,308.0,4,216.0,0
ID2420,50.44918278,1,603.0,5,517.0,0
ID2425,19.49760214,0,200.0,2,226.5,45
ID2472,8.892310508,0,286.0,2,219.36,0
ID2486,92.1783499,0,488.0,4,239.25,9000
ID2522,18.02069958,1,840.0,6,268.25,0
ID2534,0.001638215,0,820.0,6,220.33,0
ID2559,34.31676982,0,214.0,3,274.13,0
ID2568,45.26443223,0,1004.0,6,322.0,12
ID2584,138.761549,0,436.0,3,203.41,0
ID2588,50.74031148,0,988.0,7,212.3,0
ID2597,20.81874167,0,336.0,2,206.0,0
ID2620,60.9191609,0,330.0,3,202.5,0
ID2621,68.09167963,1,450.0,3,181.5,0
ID2632,56.12369616,0,910.0,6,193.93,15
ID2650,37.33165763,1,409.0,4,214.251,0
ID2660,116.1644085,0,105.0,1,347.91,25500
ID2696,47.32742061,0,225.0,2,203.3,0
ID2766,70.14531641,0,323.0,2,184.66,0
ID2770,168.167491,1,462.0,7,199.1,0
ID2774,73.0225721,1,402.0,4,474.2,0
ID2781,16.11632609,0,524.0,4,296.25,1200
